,PlayerID,PlayerName,Position
0,105673,Travon Walker,DE
1,105537,Aidan Hutchinson,DE
2,105534,Derek Stingley Jr.,CB
3,105558,Ahmad Gardner,CB
4,105533,Kayvon Thibodeaux,DE
5,105589,Ikem Ekwonu,OT
6,105535,Evan Neal,OT
7,105554,Drake London,WR
8,105539,Charles Cross,OT
9,105540,Garrett Wilson,WR
10,105544,Chris Olave,WR
11,105553,Jameson Williams,WR
12,105548,Jordan Davis,DT
13,105536,Kyle Hamilton,S
14,105577,Kenyon Green,OG
15,105545,Jahan Dotson,WR
16,105562,Zion Johnson,OG
17,105550,Treylon Burks,WR
18,105572,Trevor Penning,OT
19,105557,Kenny Pickett,QB
20,105627,Trent McDuffie,CB
21,105890,Quay Walker,ILB
22,105542,Kaiir Elam,CB
23,106067,Tyler Smith,OT
24,105551,Tyler Linderbaum,C
25,105660,Jermaine Johnson II,DE
26,105546,Devin Lloyd,ILB
27,105708,Devonte Wyatt,DT
28,105912,Cole Strange,OG
29,105549,George Karlaftis,DE
30,105587,Daxton Hill,S
31,105604,Lewis Cine,S
0,105607,Logan Hall,DE
1,105939,Christian Watson,WR
2,105559,Roger McCreary,CB
3,105568,Breece Hall,RB
4,105659,Jalen Pitre,S
5,105570,Arnold Ebiketie,DE
6,106012,Kyler Gordon,CB
7,105598,Boye Mafe,OLB
8,105686,Ken Walker III,RB
9,105556,Andrew Booth Jr.,CB
10,106066,Wan'Dale Robinson,WR
11,105560,John Metchie III,WR
12,105878,David Ojabo,OLB
13,105703,Josh Paschal,DE
14,105588,Phidarian Mathis,DT
15,105585,Jaquan Brisker,S
16,105894,Alontae Taylor,CB
17,106107,Tyquan Thornton,WR
18,105982,Cameron Jurgens,C
19,105609,George Pickens,WR
20,105892,Alec Pierce,WR
21,106025,Skyy Moore,WR
22,105563,Trey McBride,TE
23,105715,Sam Williams,OLB
24,105904,Luke Goedeke,OT
25,105934,Troy Andersen,ILB
26,105695,Ed Ingram,OG
27,105748,Cam Taylor-Britt,S
28,105603,Drake Jackson,OLB
29,105705,Bryan Cook,S
30,105713,James Cook,RB
31,105576,Nik Bonitto,OLB
0,106034,Luke Fortner,C
1,105925,Brian Asamoah,ILB
2,105623,Joshua Ezeudu,OG
3,105606,Martin Emerson,CB
4,105547,Nicholas Petit-Frere,OT
5,105914,Chad Muma,ILB
6,106028,Velus Jones Jr.,WR
7,105601,Abraham Lucas,OT
8,105994,Jelani Woods,TE
9,105564,Desmond Ridder,QB
10,105578,Christian Harris,ILB
11,105728,Travis Jones,DT
12,105566,Bernhard Raimann,OT
13,106127,Alex Wright,DE
14,106054,JT Woods,S
15,105970,Greg Dulcich,TE
16,106088,Cordale Flott,CB
17,105883,DeAngelo Malone,OLB
18,105543,Nakobe Dean,ILB
19,105541,DeMarvin Leal,DE
20,105882,Marcus Jones,CB
21,105538,Malik Willis,QB
22,105584,Cameron Thomas,DE
23,105614,Jalen Tolbert,WR
24,106038,Terrel Bernard,ILB
25,105770,Dylan Parham,OG
26,105717,Rachaad White,RB
27,105595,Sean Rhyan,OG
28,106118,Tyrion Davis-Price,RB
29,105552,Matt Corral,QB
30,105644,Zachary Carter,DT
31,106137,Nick Cross,S
32,105981,Kerby Joseph,S
33,105694,Brian Robinson Jr.,RB
34,105594,David Bell,WR
35,105649,Myjai Sanders,DE
36,105610,Jeremy Ruckert,TE
37,105662,Channing Tindall,ILB
38,105751,Leo Chenal,ILB
39,105691,Logan Bruss,OG
40,105931,Danny Gray,WR
0,105590,Cade Otton,TE
1,105918,Dameon Pierce,RB
2,105580,Perrion Winfrey,DT
3,105622,Coby Bryant,CB
4,105573,Daniel Faalele,OT
5,105885,Max Mitchell,OT
6,105950,Daniel Bellinger,TE
7,105947,Percy Butler,S
8,106078,Dane Belton,S
9,105933,Damarri Mathis,CB
10,105643,Eyioma Uwazurike,DE
11,105675,Micheal Clemons,DE
12,105760,Akayleb Evans,CB
13,105889,Jalyn Armour-Davis,CB
14,105565,Brandon Smith,ILB
15,105709,Jack Jones,CB
16,105666,Zamir White,RB
17,105581,Isaiah Spiller,RB
18,106094,Cade York,PK
19,106074,Erik Ezukanma,WR
20,106027,Neil Farrell Jr.,DT
21,105636,Pierre Strong Jr.,RB
22,105632,Charlie Kolar,TE
23,105926,Jake Ferguson,TE
24,106042,Jordan Stout,P
25,105910,Hassan Haskins,RB
26,105684,Romeo Doubs,WR
27,106043,Jake Camarda,P
28,105909,Spencer Burford,OT
29,105919,Joshua Williams,CB
30,105917,Cordell Volson,OT
31,105893,Bailey Zappe,QB
32,105948,Calvin Austin III,WR
33,105718,Isaiah Likely,TE
34,105712,Zach Tom,OG
35,105937,Damarion Williams,CB
36,105935,Decobie Durant,CB
37,105938,Chigoziem Okonkwo,TE
0,105574,Sam Howell,QB
1,105625,Darian Kinnard,OG
2,105924,Micah McFadden,ILB
3,105757,D.J. Davidson,DT
4,105886,Khalil Shakir,WR
5,105652,Cole Turner,TE
6,105733,Thomas Booker,DT
7,106082,Tyler Allgeier,RB
8,106075,Delarrin Turner-Yell,S
9,106024,Tariq Woolen,CB
10,106128,Snoop Conner,RB
11,105929,Matt Waletzko,OT
12,105896,Jerome Ford,RB
13,105944,Zyon McCollum,CB
14,105688,Tyreke Smith,DE
15,106048,Eric Johnson,DT
16,105991,Otito Ogbonnia,DT
17,106039,D'Marco Jackson,ILB
18,106246,Montrell Washington,WR
19,106131,Kyle Philips,WR
20,105597,Kyren Williams,RB
21,105908,Esezi Otomewo,DE
22,105927,Tycen Anderson,S
23,106230,DaRon Bland,CB
24,105884,Braxton Jones,OT
25,106068,Ty Chandler,RB
26,105727,Teagan Quitoriano,TE
27,106084,Luke Wattenberg,C
28,106247,Samuel Womack,CB
29,105756,Marcus McKethan,OG
30,106026,Dominique Robinson,OLB
31,106098,Matthew Butler,DT
32,105618,Damone Clark,ILB
33,105983,James Mitchell,TE
34,105651,John Ridgeway,DT
35,105567,Kingsley Enagbare,OLB
0,106145,Matt Araiza,P
1,106051,Kyron Johnson,ILB
2,105767,Darrian Beavers,ILB
3,106147,Kevin Harris,RB
4,105921,Vederian Lowe,OT
5,106232,Christian Benford,CB
6,106116,Zachary Thomas,OT
7,105906,Nick Zakelj,OT
8,106070,Malcolm Rodriguez,ILB
9,105881,Amare Barno,OLB
10,105683,Justin Shaffer,OG
11,106093,Jalen Nailor,WR
12,106248,Andrew Ogletree,TE
13,106236,Devin Harper,ILB
14,106126,Jordan Jackson,DT
15,105583,Jamaree Salyer,OG
16,106050,Tyler Badie,RB
17,105945,Gregory Junior,CB
18,105920,Grant Calcaterra,TE
19,105637,Cade Mays,OG
20,106249,Sam Roberts,DT
21,105999,Keaontay Ingram,RB
22,106250,Michael Woods II,WR
23,106239,Trestan Ebner,RB
24,106251,Theo Jackson,S
25,105461,Austin Deculus,OT
26,105900,Matt Henningsen,DT
27,105744,Doug Kramer,C
28,106053,Connor Heyward,FB
29,106081,Luke Tenuta,OT
30,105943,Chasen Hines,OG
31,105654,Quentin Lake,S
32,105616,Derion Kendrick,CB
33,105911,John FitzPatrick,TE
34,106252,Ja'Sir Taylor,CB
35,105898,Lecitus Smith,OG
36,106237,Curtis Brooks,DT
37,106087,James Houston,OLB
38,106253,Ko Kieft,TE
39,106099,Chance Campbell,ILB
40,106103,Kalia Davis,DT
41,105735,Tariq Castro-Fields,CB
0,106111,Montaric Brown,CB
1,106033,Isaiah Thomas,DE
2,106254,Cameron Goode,OLB
3,106255,Mark Robinson,OLB
4,105765,Ja'Tyre Carter,OG
5,106256,Nick Muse,TE
6,106049,Tariq Carpenter,ILB
7,105932,Bo Melton,WR
8,105891,Chris Paul,OG
9,106136,Baylon Spector,ILB
10,106257,Faion Hicks,CB
11,106240,Dareke Young,WR
12,106115,Jonathan Ford,DT
13,106258,Daniel Hardy,OLB
14,106259,Deane Leonard,CB
15,105612,Chase Lucas,CB
16,105602,Thayer Munford,OT
17,106260,Rodney Thomas II,S
18,106261,Christian Holmes,CB
19,106262,Chris Oladokun,QB
20,105953,Kalon Barnes,CB
21,105923,Jaylen Watson,CB
22,106263,Christian Matthew,CB
23,105901,Andrew Stueber,OG
24,105650,Dawson Deaton,C
25,105946,Skylar Thompson,QB
26,106265,Andre Anthony,DE
27,106104,Rasheed Walker,OT
28,106266,Brittain Brown,RB
29,105996,Isaih Pacheco,RB
30,106030,Jeffrey Gunter,DE
31,106267,Russ Yeast,S
32,106268,Elijah Hicks,S
33,106269,Trenton Gill,P
34,105682,Jesse Luketa,OLB
35,105942,Marquis Hayes,OG
36,106270,Samori Toure,WR
37,106271,Nazeeh Johnson,S
38,106272,Zander Horvath,FB
39,106273,AJ Arcuri,OT
40,105721,Brock Purdy,QB
